"question","answer","category","tier"
"What is requirements.txt?","A file listing a project's dependencies so anyone can install them all with pip install -r.","Python","1"
"What is a virtual environment?","An isolated Python setup per project so different projects can use different package versions without conflicts.","Python","1"
"How do you create and activate a virtual environment?","Run python -m venv venv, then activate it, so package installs stay inside that project.","Python","1"
"What is PEP 8?","Python's official style guide covering naming, spacing, and layout so code looks consistent.","Python","1"
"What is a with statement?","A context manager that sets up and automatically cleans up a resource, like closing a file.","Python","1"
"How do you read a file in Python?","Use with open('file.txt') as f, then call f.read() or loop over its lines.","Python","1"
"What do json.loads and json.dumps do?","loads turns a JSON string into Python objects; dumps turns Python objects into a JSON string.","Python","1"
"What is a class?","A blueprint for creating objects, bundling related data and functions together.","Python","1"
"What is an object (instance)?","A concrete thing created from a class, with its own data, like one specific user.","Python","1"
"What is __init__?","The constructor method that runs when an object is created, setting up its starting attributes.","Python","1"
"What is self?","The reference to the current object inside a class, letting methods access its own attributes.","Python","1"
"What is a method?","A function defined inside a class that operates on that class's objects.","Python","1"
"What is an attribute?","A piece of data stored on an object, accessed with dot notation like user.name.","Python","1"
"What is inheritance?","When a class is based on another class, reusing and extending its attributes and methods.","Python","1"
"What does truthy and falsy mean?","Values act like True or False in conditions; empty strings, empty lists, zero, and None are falsy.","Python","1"
"What is the difference between is and ==?","== checks if values are equal; is checks if two names point to the exact same object.","Python","1"
"What is a generator and yield?","A function using yield produces values one at a time on demand, saving memory over building full lists.","Python","1"
"What is an API?","An interface that lets programs talk to each other by sending requests and getting responses.","APIs","1"
"What is a REST API?","A web API style where you access resources at URLs using HTTP methods like GET and POST, usually with JSON.","APIs","1"
"What is an endpoint?","A specific URL in an API that performs one job, like /books to list books.","APIs","1"
"What is HTTP?","The protocol web clients and servers use to exchange requests and responses.","APIs","1"
"What does a GET request do?","Retrieves data from a server without changing anything, like fetching a list of records.","APIs","1"
"What does a POST request do?","Sends data to the server to create something new, with the data in the request body.","APIs","1"
"What does a PUT request do?","Replaces or fully updates an existing resource with the data you send.","APIs","1"
"What does a PATCH request do?","Partially updates a resource, changing only the fields you send.","APIs","1"
"What does a DELETE request do?","Removes the resource at the given URL from the server.","APIs","1"
"What is JSON?","A lightweight text format of key-value pairs and lists, the standard way APIs exchange data.","APIs","1"
"What is an HTTP status code?","A three-digit number in every response saying how it went: 2xx success, 4xx client error, 5xx server error.","APIs","1"
"What does a 200 status code mean?","Success: the request worked and the response contains the result.","APIs","1"
"What does a 201 status code mean?","Created: the request succeeded and a new resource was made, typical after a POST.","APIs","1"
"What does a 400 status code mean?","Bad request: the client sent something invalid or malformed that the server cannot process.","APIs","1"
"What does a 401 status code mean?","Unauthorized: the request lacks valid authentication, like a missing or wrong API key.","APIs","1"
"What does a 403 status code mean?","Forbidden: you are authenticated but not allowed to access this particular resource.","APIs","1"
"What does a 404 status code mean?","Not found: the URL or resource you asked for does not exist on the server.","APIs","1"
"What does a 422 status code mean?","Unprocessable entity: the data failed validation; FastAPI returns it when the body does not match the model.","APIs","1"
"What does a 500 status code mean?","Internal server error: something crashed on the server side, not the client's fault.","APIs","1"
"What is a request body?","The data payload sent along with a request, usually JSON in a POST or PUT.","APIs","1"
"What is a query parameter?","An optional value after the question mark in a URL, like /books?limit=10, used for filters and options.","APIs","1"
"What is a path parameter?","A variable part of the URL itself, like /books/42 where 42 identifies which book.","APIs","1"
"What is an HTTP header?","Extra metadata sent with requests and responses, like authorization tokens or content type.","APIs","1"
"What is the difference between authentication and authorization?","Authentication proves who you are; authorization decides what you are allowed to do.","APIs","1"
"What is an API key?","A secret string sent with requests to identify the caller and control access to the API.","APIs","1"
"What is a bearer token?","A credential sent in the Authorization header, like Authorization: Bearer token, proving the caller has access.","APIs","1"
"What is FastAPI?","A modern Python web framework for building APIs quickly, with automatic validation, docs, and async support.","APIs","1"
"What is Flask?","A lightweight Python web framework where you define routes with decorators; simpler and older than FastAPI.","APIs","1"
"What is uvicorn?","The ASGI server that actually runs a FastAPI app, started with uvicorn main:app.","APIs","1"
"How do you define a route in FastAPI?","Decorate a function with the method and path, like @app.get('/books'), and FastAPI serves it.","APIs","1"
"What is the /docs page in FastAPI?","Automatic interactive Swagger documentation generated from your code, where you can try endpoints in the browser.","APIs","1"
"What is OpenAPI?","A standard machine-readable specification describing an API's endpoints, inputs, and outputs; FastAPI generates it automatically.","APIs","1"
"What is the difference between ASGI and WSGI?","Both connect Python apps to web servers; ASGI supports async and powers FastAPI, WSGI is synchronous like Flask.","APIs","1"
"What does async/await do in FastAPI?","Lets the server handle other requests while waiting on slow operations like database or LLM calls.","APIs","1"
"What is middleware?","Code that runs on every request or response, used for things like logging, auth, or CORS.","APIs","1"
"What is CORS?","A browser security rule controlling which websites may call your API; the server lists allowed origins explicitly.","APIs","1"
"What is dependency injection in FastAPI?","Using Depends() to share reusable pieces like database connections or auth checks across endpoints.","APIs","1"
"What is a response model in FastAPI?","A Pydantic model that defines and filters what an endpoint returns, keeping responses consistent and documented.","APIs","1"
"What is HTTPException in FastAPI?","The standard way to return an error, like raise HTTPException(status_code=404, detail='Not found').","APIs","1"
"What is the difference between client and server?","The client sends requests, like a browser or app; the server receives them and returns responses.","APIs","1"
"What is the requests library?","A popular Python library for calling APIs from code, like requests.get(url).json().","APIs","1"
"What does it mean that REST is stateless?","Each request contains everything needed; the server does not remember previous requests between calls.","APIs","1"
"What does idempotent mean?","Repeating the same request has the same effect as doing it once, true for GET, PUT, and DELETE.","APIs","1"
"What is rate limiting?","Capping how many requests a client can make per time period to protect the API from overload.","APIs","1"
"What is pagination?","Returning large result sets in pages, using parameters like limit and offset, instead of everything at once.","APIs","1"
"What is a webhook?","A reverse API call: the server pushes a request to your URL when an event happens.","APIs","1"
"What are the parts of an API URL?","Scheme, domain, and path, like https://api.site.com/v1/books, plus optional query parameters.","APIs","1"
"What is serialization?","Converting objects in memory into a format like JSON to send over the network, and back again.","APIs","1"
"What is the Content-Type header?","It tells the receiver what format the body is in, usually application/json for APIs.","APIs","1"
"What are localhost and a port?","localhost is your own machine; the port number, like 8000, identifies which app receives the traffic.","APIs","1"
"What is generative AI?","AI that creates new content such as text, images, or code, rather than just classifying existing data.","AI-LLM","1"
"What is an LLM?","A large language model: a neural network trained on huge amounts of text to understand and generate language.","AI-LLM","1"
"What is GPT?","Generative Pre-trained Transformer, the family of OpenAI models behind ChatGPT and Azure OpenAI.","AI-LLM","1"
"What is a token?","A chunk of text, roughly three-quarters of a word, that models read and generate; usage is counted in tokens.","AI-LLM","1"
"What is tokenization?","Splitting text into tokens the model can process, done automatically before the model sees your prompt.","AI-LLM","1"
"What is a prompt?","The input text you send to an LLM: instructions, questions, and context that shape its response.","AI-LLM","1"
"What is a system prompt?","An instruction that sets the model's role, rules, and behavior for the whole conversation.","AI-LLM","1"
"What is a user message?","The message with the user role, carrying the person's actual question or request in the chat format.","AI-LLM","1"
"What is a completion?","The model's generated response to your prompt; the API term for its output.","AI-LLM","1"
"What is temperature in an LLM call?","A setting for randomness: low values give consistent, focused answers; higher values give more varied, creative ones.","AI-LLM","1"
"What is max tokens?","A cap on how long the model's response can be, measured in tokens.","AI-LLM","1"
"What is top_p?","An alternative randomness control that samples only from the smallest set of likely tokens covering probability p.","AI-LLM","1"
"What is a context window?","The maximum number of tokens the model can consider at once, including the prompt and its response.","AI-LLM","1"
"What is a hallucination?","When a model confidently states something false or made up, because it predicts plausible text, not verified facts.","AI-LLM","1"
"What is prompt engineering (prompt design)?","Crafting and refining prompt wording, structure, and examples to get reliable, high-quality model outputs.","AI-LLM","1"
"What is few-shot prompting?","Including a few example input-output pairs in the prompt so the model imitates the pattern.","AI-LLM","1"
"What is zero-shot prompting?","Asking the model to do a task with instructions only, giving no examples.","AI-LLM","1"
"What is chain-of-thought prompting?","Asking the model to reason step by step before answering, which improves accuracy on complex problems.","AI-LLM","1"
"What is the chat messages format?","A list of messages with roles - system, user, assistant - sent to the API to represent the conversation.","AI-LLM","1"
"What is an assistant message?","A message with the assistant role: the model's earlier replies, kept in history for context.","AI-LLM","1"
"What is inference?","Running a trained model to generate outputs, as opposed to training it.","AI-LLM","1"
"What are model parameters (weights)?","The billions of learned numbers inside a model that encode everything it learned during training.","AI-LLM","1"
"What is the difference between training and inference?","Training is learning from data to set the weights; inference is using the trained model to answer.","AI-LLM","1"
"What is fine-tuning?","Further training a pre-trained model on your own examples to specialize its behavior or style.","AI-LLM","1"
"What is pretraining?","The initial large-scale training on massive text data where the model learns language in general.","AI-LLM","1"
"What is a transformer?","The neural network architecture behind modern LLMs, using attention to relate words to each other.","AI-LLM","1"
"What is attention in a transformer?","A mechanism letting the model weigh which other words in the input matter most for each word.","AI-LLM","1"
"What is a neural network?","A model made of layers of connected nodes with adjustable weights that learn patterns from data.","AI-LLM","1"
"What is machine learning?","Building systems that learn patterns from data instead of being explicitly programmed with rules.","AI-LLM","1"
"What is deep learning?","Machine learning using many-layered neural networks, the approach behind LLMs and image models.","AI-LLM","1"
"What is NLP?","Natural language processing: the field of getting computers to understand and generate human language.","AI-LLM","1"
"What is grounding?","Giving the model trusted source material in the prompt so answers come from real data, not its memory.","AI-LLM","1"
"What is a chat completions API?","The endpoint where you send a list of messages and the model returns the next assistant message.","AI-LLM","1"
"What is a stop sequence?","A string that makes the model stop generating when it appears, controlling where the output ends.","AI-LLM","1"
"What is streaming?","Receiving the response token by token as it is generated, so users see text appear immediately.","AI-LLM","1"
"What is latency in LLM apps?","The time between sending a request and getting the response; long generations mean noticeable waits.","AI-LLM","1"
"How are LLM API costs calculated?","You pay per token, with separate rates for input tokens and output tokens.","AI-LLM","1"
"Why choose a smaller model like GPT-4o mini?","Smaller models are cheaper and faster; you trade some quality for cost and speed on simpler tasks.","AI-LLM","1"
"What is the difference between open-source and proprietary models?","Open-source models like Llama can be downloaded and self-hosted; proprietary ones like GPT-4 are used through paid APIs.","AI-LLM","1"
"What are guardrails?","Rules and checks around an LLM app that block unsafe inputs or outputs and keep it on task.","AI-LLM","1"
"What is content filtering?","Automatic moderation that blocks harmful prompts or responses; Azure OpenAI applies it by default.","AI-LLM","1"
"What is prompt injection?","An attack where malicious text in user input or documents tricks the model into ignoring its instructions.","AI-LLM","1"
"What is a jailbreak?","A prompt crafted to trick a model into bypassing its safety rules and restrictions.","AI-LLM","1"
"Why use delimiters in prompts?","Marking sections with tags or triple quotes separates instructions from data, reducing confusion and injection risk.","AI-LLM","1"
"What is instruction following?","A model's ability to obey what the prompt asks, improved by training on instruction examples.","AI-LLM","1"
"Why do LLM outputs vary between runs?","Generation samples from probabilities, so the same prompt can give different answers unless temperature is very low.","AI-LLM","1"
"What is function calling (tool use)?","Letting the model return a structured call to your function, so it can trigger real actions or lookups.","AI-LLM","1"
"What is an AI agent?","An LLM-driven system that plans steps and uses tools in a loop to complete tasks with some autonomy.","AI-LLM","1"
"What is a multimodal model?","A model that handles more than text, such as understanding images or audio alongside language.","AI-LLM","1"
"What is a knowledge cutoff?","The date the model's training data ends; it knows nothing after that without retrieval.","AI-LLM","1"
"What are evals?","Tests that measure an LLM app's output quality against expected answers, so changes can be compared objectively.","AI-LLM","1"
"What happens when you exceed the context window?","The request fails or older content gets truncated, so long conversations or documents must be trimmed or summarized.","AI-LLM","1"
"What is summarization as an LLM use case?","Asking the model to condense long text into key points, common for documents and meeting notes.","AI-LLM","1"
"What is extraction as an LLM use case?","Pulling specific structured fields, like names or dates, out of unstructured text such as documents.","AI-LLM","1"
"What is conversation history (memory)?","Previous messages resent with each request so the model remembers the conversation; the API itself is stateless.","AI-LLM","1"
"What is a persona in a prompt?","Telling the model who to act as, like a helpful support agent, to shape tone and behavior.","AI-LLM","1"
"How do you control an LLM's output format?","State the format explicitly in the prompt, show an example, or use structured output features to enforce JSON.","AI-LLM","1"
"How do you improve a prompt that is not working?","Iterate: make instructions specific, add examples and constraints, test on real cases, and compare results.","AI-LLM","1"
"What is bias in AI models?","Models can reflect unfair patterns from their training data, so outputs need review in sensitive uses.","AI-LLM","1"
"What is responsible AI?","Building AI with fairness, transparency, privacy, and human oversight, a core requirement in enterprise deployments.","AI-LLM","1"
"What is RAG?","Retrieval-augmented generation: search your own documents for relevant text, add it to the prompt, and the LLM answers from it.","RAG","1"
"What is an embedding?","A list of numbers representing text meaning, so texts with similar meaning get similar vectors.","RAG","1"
"What is a vector?","An array of numbers; in AI it is the numeric representation of text or other data.","RAG","1"
"What is a vector database?","A store built to save embeddings and quickly find the ones most similar to a query vector.","RAG","1"
"What is semantic search?","Search by meaning using embeddings, finding relevant text even when the exact words differ.","RAG","1"
"What is keyword search?","Traditional search matching the literal words in the query, good for exact terms like names or codes.","RAG","1"
"What is hybrid search?","Combining keyword and semantic search results, usually more accurate than either alone; Azure AI Search supports it.","RAG","1"
"What is chunking?","Splitting documents into smaller pieces before embedding, since whole documents are too big to retrieve precisely.","RAG","1"
"What is chunk overlap?","Letting neighboring chunks share some text so sentences at boundaries are not cut off from their context.","RAG","1"
"What is cosine similarity?","A score of how closely two vectors point the same direction, used to rank how similar texts are.","RAG","1"
"What is the retrieval step in RAG?","Embedding the user's question and finding the most similar document chunks in the index.","RAG","1"
"What is the augmentation step in RAG?","Inserting the retrieved chunks into the prompt as context before asking the model to answer.","RAG","1"
"What is a search index?","The prepared, searchable structure holding your document chunks, their embeddings, and metadata.","RAG","1"
"What is an ingestion pipeline?","The process that loads documents, extracts text, chunks it, creates embeddings, and stores everything in the index.","RAG","1"
"What is an embedding model?","A separate model, like text-embedding-3, whose only job is turning text into vectors.","RAG","1"
"What are embedding dimensions?","The length of the vector, like 1536 numbers; all vectors in one index must have the same length.","RAG","1"
"What is top-k in retrieval?","The number of best-matching chunks you fetch, like the top 5, to include in the prompt.","RAG","1"
"What is a relevance score?","The number the search engine assigns each result showing how well it matches the query.","RAG","1"
"Why use RAG instead of fine-tuning?","RAG is cheaper, updates instantly by re-indexing documents, and can cite sources; fine-tuning mainly changes style, not knowledge.","RAG","1"
"What problem does RAG solve about model knowledge?","Models have a training cutoff and no private data; RAG supplies current, company-specific information at question time.","RAG","1"
"What are citations in RAG?","Showing which source documents each answer came from, so users can verify and trust the response.","RAG","1"
"What is document parsing in RAG?","Extracting clean text from files like PDFs before chunking, using tools such as Azure Document Intelligence.","RAG","1"
"What is metadata filtering?","Narrowing search results by fields like department or date, alongside the vector similarity match.","RAG","1"
"What is reranking?","A second pass that reorders retrieved results with a stronger model so the best chunks rise to the top.","RAG","1"
"What is approximate nearest neighbor search?","A fast algorithm finding close-enough similar vectors without comparing against every one, enabling large-scale search.","RAG","1"
"What is a knowledge base in a RAG system?","The collection of company documents and data the system searches to ground its answers.","RAG","1"
"How does RAG reduce hallucinations?","The prompt tells the model to answer only from the retrieved context, and to say when the answer is missing.","RAG","1"
"What is query rewriting?","Having the model rephrase or expand the user's question first so retrieval finds better matches.","RAG","1"
"What is the tradeoff in chunk size?","Small chunks retrieve precisely but lose context; big chunks keep context but add noise and cost tokens.","RAG","1"
"What are examples of vector stores?","Azure AI Search, Pinecone, FAISS, Chroma, and pgvector all store and search embeddings.","RAG","1"
"What is Pydantic?","A Python library that validates data using type-annotated classes, ensuring incoming data matches the expected shape.","Pydantic","1"
"What is a BaseModel?","The Pydantic class you inherit from to define a data model with typed fields.","Pydantic","1"
"What is data validation?","Checking that incoming data has the right types and values, and rejecting bad data with clear errors.","Pydantic","1"
"What is a schema?","A formal definition of a data structure: its fields, their types, and which ones are required.","Pydantic","1"
"What is JSON Schema?","A standard format for describing JSON structure; Pydantic models can generate it, and OpenAI structured outputs use it.","Pydantic","1"
"What is a field in a Pydantic model?","A typed attribute of the model, like name: str, that gets validated automatically.","Pydantic","1"
"What does Field() let you do?","Add constraints and metadata to a model field, like defaults, minimum length, or value ranges.","Pydantic","1"
"What is type coercion in Pydantic?","Pydantic converts compatible input automatically, like turning the string '5' into the integer 5.","Pydantic","1"
"What is a ValidationError?","The error Pydantic raises when data does not match the model, listing exactly which fields failed and why.","Pydantic","1"
"How do you make a Pydantic field optional?","Give it a type allowing None, like Optional[str], plus a default, so it may be omitted.","Pydantic","1"
"What is a nested model?","A model whose field is itself another model, letting you validate structured data inside structured data.","Pydantic","1"
"What does model_dump() do?","Converts a Pydantic model instance into a plain Python dictionary, ready for JSON serialization.","Pydantic","1"
"How do you parse JSON into a Pydantic model?","Call Model.model_validate_json(json_string); it validates and returns a typed object or raises an error.","Pydantic","1"
"What are structured outputs from an LLM?","Making the model return data in a guaranteed JSON format matching your schema, instead of free text.","Pydantic","1"
"Why do structured outputs matter in AI apps?","Code can reliably parse and act on model responses, without brittle text parsing or format surprises.","Pydantic","1"
"How does FastAPI use Pydantic?","Request bodies and responses are declared as Pydantic models, giving automatic validation, docs, and 422 errors.","Pydantic","1"
"What is a custom validator?","A function attached to a model that adds your own checks, like verifying an email format.","Pydantic","1"
"How do defaults work in Pydantic models?","A field with a default value becomes optional; without one it is required, and missing data fails validation.","Pydantic","1"
"How do you restrict a field to fixed choices?","Use an Enum or Literal type, like Literal['pending', 'done'], so only those values pass validation.","Pydantic","1"
"How is Pydantic different from a dataclass?","Dataclasses just hold data; Pydantic also validates types and values at runtime and handles JSON conversion.","Pydantic","1"
"What is Microsoft Azure?","Microsoft's cloud platform offering hosted services like compute, storage, databases, and AI on a pay-as-you-go basis.","Azure","1"
"What is cloud computing?","Renting computing resources over the internet instead of running your own servers, scaling up or down on demand.","Azure","1"
"What is Azure Functions?","Serverless compute: small pieces of code that run on triggers like HTTP requests or timers, billed per execution.","Azure","1"
"What does serverless mean?","You just deploy code; the cloud provider manages servers and scaling, and you pay only when it runs.","Azure","1"
"What is Azure OpenAI Service?","OpenAI models like GPT-4 hosted inside Azure, with enterprise security, private networking, and content filtering.","Azure","1"
"What is Azure AI Search?","A managed search service supporting keyword, vector, and hybrid search, commonly the retrieval layer in RAG apps.","Azure","1"
"What is Azure Blob Storage?","Cloud object storage for files like PDFs, images, and backups, organized into containers.","Azure","1"
"What is a blob container?","A folder-like grouping inside a storage account that holds blobs, meaning the individual stored files.","Azure","1"
"What is Azure Key Vault?","A secure store for secrets, API keys, and certificates, so credentials never sit in code or config files.","Azure","1"
"Why should secrets never be hardcoded?","Anyone with code access, or a leaked repository, gets the keys; use Key Vault or environment variables instead.","Azure","1"
"What is Application Insights?","Azure's monitoring service that collects logs, errors, performance data, and request traces from your app.","Azure","1"
"What is telemetry?","Data your app emits about its own behavior, like requests, timings, and failures, used for monitoring and debugging.","Azure","1"
"What is Azure Document Intelligence?","An AI service that extracts text, tables, and fields from documents like PDFs, invoices, and scans.","Azure","1"
"What is OCR?","Optical character recognition: converting images of text, like scanned pages, into machine-readable text.","Azure","1"
"What is Azure Container Apps?","A managed service for running containerized apps with automatic scaling, without managing Kubernetes yourself.","Azure","1"
"What is a container?","A lightweight package of an app plus all its dependencies that runs the same way anywhere.","Azure","1"
"What is Docker?","The standard tool for building and running containers, with the build defined in a Dockerfile.","Azure","1"
"What is a Docker image?","The built, shareable snapshot of an app and its environment; running an image creates a container.","Azure","1"
"What is a resource group?","A logical folder in Azure grouping related resources for one project, managed and deleted together.","Azure","1"
"What is an Azure region?","The geographic data center location where your resources physically run, like East US or West Europe.","Azure","1"
"What is an Azure subscription?","The billing and access boundary that all your Azure resources live under.","Azure","1"
"What is the Azure Portal?","The web interface for creating, configuring, and monitoring Azure resources.","Azure","1"
"What is the Azure CLI?","The az command-line tool for managing Azure resources from a terminal or in scripts.","Azure","1"
"What is a managed identity?","An automatic Azure identity for your app so it can access services like Key Vault without storing credentials.","Azure","1"
"What is a deployment in Azure OpenAI?","A named instance of a model you create in your resource and call by its deployment name.","Azure","1"
"How do you call Azure OpenAI from Python?","Use the openai library configured with your resource endpoint, an API key or identity, and the deployment name.","Azure","1"
"What is autoscaling?","The platform automatically adds or removes instances based on load, so the app handles spikes without manual work.","Azure","1"
"What are application settings in Azure?","Configuration values like endpoints and keys stored as environment variables outside the code, read at runtime.","Azure","1"
"What is an SDK?","A software development kit: official libraries, like azure-storage-blob for Python, for calling a service from code.","Azure","1"
"What is a connection string?","A single string containing the address and credentials needed to connect to a service like a storage account.","Azure","1"
"What is version control?","A system that records every change to code over time so you can review, revert, and collaborate safely.","Git","1"
"What is Git?","The most widely used version control tool, tracking changes locally with the full project history.","Git","1"
"What is GitHub?","A website that hosts Git repositories and adds collaboration features like pull requests, issues, and Actions.","Git","1"
"What is a repository?","A project folder tracked by Git, containing all the files plus the complete change history.","Git","1"
"What is a commit?","A saved snapshot of your changes with a message, forming one point in the project history.","Git","1"
"What makes a good commit message?","A short, present-tense summary of what changed and why, like 'Add retry logic to upload'.","Git","1"
"What is a branch?","A separate line of development so you can work on a feature without touching main.","Git","1"
"What is the main branch?","The default primary branch holding the stable, current version of the project.","Git","1"
"What does merge do?","Combines the changes from one branch into another, like merging a feature branch into main.","Git","1"
"What is a merge conflict?","When two branches change the same lines, Git asks you to choose the final version manually.","Git","1"
"What is a pull request?","A GitHub request to merge your branch, where teammates review the changes before they land.","Git","1"
"What is a code review?","Teammates reading and commenting on a pull request to catch issues before the code merges.","Git","1"
"What does git clone do?","Downloads a full copy of a remote repository, including its history, to your machine.","Git","1"
"What is a fork?","Your own copy of someone else's GitHub repository, used to propose changes to projects you cannot push to.","Git","1"
"What does git push do?","Uploads your local commits to the remote repository, like GitHub.","Git","1"
"What does git pull do?","Downloads the latest commits from the remote and merges them into your local branch.","Git","1"
"What does git fetch do?","Downloads remote changes so you can inspect them, but does not merge them into your branch.","Git","1"
"What is the staging area and git add?","git add marks which changes go into the next commit; the staging area holds that selection.","Git","1"
"What does git status show?","Which files are modified, staged, or untracked, and which branch you are on.","Git","1"
"What does git log show?","The commit history: who changed what and when, with each commit message.","Git","1"
"What is .gitignore?","A file listing paths Git should never track, like venv folders, .env files, and caches.","Git","1"
"What is a remote?","A repository hosted elsewhere, like on GitHub, that your local repository syncs with.","Git","1"
"What is origin?","The default nickname Git gives the remote repository you cloned from.","Git","1"
"What does git checkout or git switch do?","Moves you to another branch, updating your working files to match it.","Git","1"
"What does git diff show?","The exact line-by-line differences between versions, such as your edits versus the last commit.","Git","1"
"How do you undo a commit safely?","git revert makes a new commit that reverses it, preserving history, unlike reset which rewrites it.","Git","1"
"What is a tag or release?","A permanent label on a specific commit, like v1.0, marking a released version.","Git","1"
"What is a README?","The markdown file shown on a repository's front page explaining what the project is and how to run it.","Git","1"
"What is CI/CD?","Continuous integration and delivery: automatically testing every change and deploying it once checks pass.","Git","1"
